,"Population"
"1950",311000
"1951",320000
"1952",330000
"1953",339000
"1954",349000
"1955",358000
"1956",368000
"1957",378000
"1958",388000
"1959",398000
"1960",409000
"1961",420000
"1962",435000
"1963",450000
"1964",466000
"1965",483000
"1966",500000
"1967",542000
"1968",587000
"1969",635000
"1970",688000
"1971",745000
"1972",764000
"1973",784000
"1974",804000
"1975",825000
"1976",846000
"1977",864000
"1978",883000
"1979",902000
"1980",922000
"1981",942000
"1982",967000
"1983",993000
"1984",1020000
"1985",1048000
"1986",1076000
"1987",1105000
"1988",1134000
"1989",1164000
"1990",1195000
"1991",1226000
"1992",1249000
"1993",1272000
"1994",1295000
"1995",1319000
"1996",1343000
"1997",1359000
"1998",1375000
"1999",1391000
"2000",1407000
"2001",1423000
"2002",1445000
"2003",1466000
"2004",1488000
"2005",1511000
"2006",1534000
"2007",1579000
"2008",1625000
"2009",1673000
"2010",1722000
"2011",1773000
"2012",1803000
"2013",1833000
"2014",1863000
"2015",1894000
"2016",1926000
"2017",1958000
"2018",1991000
"2019",2016000
"2020",2042000
"2021",2067000
"2022",2093000
"2023",2118000
"2024",2143000
"2025",2169000